Serial Number,sub_district,district,state,total_area_sq_km,estimated_population,current_green_cover_sq_km,targeted_green_cover_sq_km,greenery_deficit_sq_km,annual_mean_temp_c,annual_mean_rainfall_mm,soil_org_carbon_pct,surface_water_sq_km,population_density,greenery_deficit_pct,deficit_score,pop_density_score,priority_index,agro_eco_zone_description,forestry_trees,horticulture_plants,sustainable_cover
136,Simalwara,Dungarpur,Rajasthan,856.28,345708,197.22,256.88,59.66,25.6,1046.71,19.1,19.84,403.732424,0.069673471,0.209020414,0.011390883,12.99686014,"Hot, sub-humid to humid, alluvial plains. (AEZ 7, 8, 9, 11)","Tectona grandis (Teak), Shorea robusta (Sal), Gmelina arborea (Gamhar)","Musa (Banana), Cocos nucifera (Coconut), Artocarpus heterophyllus (Jackfruit)","Bamboo (dense varieties), Agro-forestry systems (intercropping with trees)"
137,Jagalur,Davanagere,Karnataka,975.8,149021,233.28,292.74,59.46,25.38,297.56,22.47,5.55,152.7167452,0.060934618,0.182803853,0.004308741,11.14058084,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
138,Spiti,Lahul & Spiti,Himachal Pradesh,193.39,484,0,58.02,58.02,-8.06,358.4,34.97,1,2.502714722,0.300015513,0.900046538,7.06E-05,54.00561674,Unclassified,N/A,N/A,General local species
139,Kalpa,Kinnaur,Himachal Pradesh,389.32,13453,61.3,116.8,55.5,-3.59,903.64,48.42,3.59,34.55512175,0.142556252,0.427668756,0.000974936,25.69912279,Unclassified,N/A,N/A,General local species
140,Badgam,Badgam,Jammu and Kashmir,1173.19,759285,296.57,351.96,55.39,9.19,1035.85,46.05,9.21,647.1969587,0.047213154,0.141639462,0.018259977,9.22876677,"Cold, temperate, mountain ecosystem. (AEZ 14)","Cedrus deodara (Deodar), Pinus roxburghii (Chir Pine), Quercus leucotrichophora (Banj Oak)","Malus domestica (Apple), Prunus armeniaca (Apricot), Juglans regia (Walnut)","Native alpine shrubs, Terraced farming stabilization plants"
141,Hindupur,Anantapur,Andhra Pradesh,1126.67,438593,284.37,338,53.63,25.6,461.47,23.07,34.36,389.2825761,0.047600451,0.142801353,0.010983196,9.007408985,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
142,Dungarpur,Dungarpur,Rajasthan,1353.89,380634,353.61,406.17,52.56,25.22,1047.52,19.44,20.93,281.1410085,0.03882147,0.11646441,0.007932096,7.305148431,"Hot, sub-humid to humid, alluvial plains. (AEZ 7, 8, 9, 11)","Tectona grandis (Teak), Shorea robusta (Sal), Gmelina arborea (Gamhar)","Musa (Banana), Cocos nucifera (Coconut), Artocarpus heterophyllus (Jackfruit)","Bamboo (dense varieties), Agro-forestry systems (intercropping with trees)"
143,Shimla,Shimla,Himachal Pradesh,579.87,20771,123.04,173.96,50.92,-1.69,1384.47,53.48,1.4,35.82009761,0.087812786,0.263438357,0.001010626,15.84672646,Unclassified,N/A,N/A,General local species
144,Hiriyur,Chitradurga,Karnataka,1712.66,264631,464.46,513.8,49.34,25.62,444.28,21.69,23.14,154.5146147,0.028808987,0.086426962,0.004359466,5.359996343,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
145,Mandal,Bhilwara,Rajasthan,1202.18,219001,311.99,360.65,48.66,24.45,814.89,17.71,11.68,182.1698914,0.040476468,0.121429403,0.005139731,7.491353418,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
146,Devarkonda,Nalgonda,Telangana,2812.56,380968,795.2,843.77,48.57,27.52,713.01,20.43,210.12,135.4523992,0.017268965,0.051806895,0.003821646,3.261279527,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
147,Mangalwedha,Solapur,Maharashtra,1139.46,174640,294.05,341.84,47.79,27.63,516.68,17.34,12.12,153.2655819,0.041940919,0.125822758,0.004324226,7.722334532,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
148,Banganapalli,Kurnool,Andhra Pradesh,824.49,139967,200.07,247.35,47.28,28.6,475.1,23.7,20.46,169.7619134,0.05734454,0.172033621,0.004789653,10.51360335,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
149,Yadgir,Yadgir,Karnataka,1724.86,400506,470.5,517.46,46.96,26.63,693.84,19.21,50.49,232.1962362,0.027225398,0.081676194,0.006551171,5.162618477,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
150,Madhugiri,Tumkur,Karnataka,1116.16,246509,288.26,334.85,46.59,25.07,448.37,23.09,21.33,220.854537,0.041741327,0.125223982,0.006231177,7.762686008,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
151,Puri,Puri,Odisha,1103.83,74441,284.63,331.15,46.52,27.56,1122.19,36.01,862.62,67.43882663,0.042144171,0.126432512,0.001902715,7.662059338,"Hot, sub-humid to humid, alluvial plains. (AEZ 7, 8, 9, 11)","Tectona grandis (Teak), Shorea robusta (Sal), Gmelina arborea (Gamhar)","Musa (Banana), Cocos nucifera (Coconut), Artocarpus heterophyllus (Jackfruit)","Bamboo (dense varieties), Agro-forestry systems (intercropping with trees)"
152,Dhadgaon,Nandurbar,Maharashtra,1291.86,207869,342.95,387.56,44.61,25.46,970.15,22.44,36.93,160.9067546,0.034531606,0.103594817,0.004539814,6.397281554,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
153,Sira,Tumkur,Karnataka,1552.35,277494,421.96,465.7,43.74,25.27,433.46,22.36,28.34,178.7573679,0.028176635,0.084529906,0.00504345,5.273532369,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
154,Kherwara,Udaipur,Rajasthan,1086.51,309644,282.6,325.95,43.35,24.56,1058.06,19.89,10.33,284.9895537,0.03989839,0.119695171,0.008040678,7.503337385,"Hot, sub-humid to humid, alluvial plains. (AEZ 7, 8, 9, 11)","Tectona grandis (Teak), Shorea robusta (Sal), Gmelina arborea (Gamhar)","Musa (Banana), Cocos nucifera (Coconut), Artocarpus heterophyllus (Jackfruit)","Bamboo (dense varieties), Agro-forestry systems (intercropping with trees)"
155,Babra,Amreli,Gujarat,791.5,119653,194.16,237.45,43.29,27.01,765.66,19.08,11.18,151.1724574,0.05469362,0.164080859,0.004265171,10.01545838,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
156,Valabhipur,Bhavnagar,Gujarat,624.57,113557,147.51,187.37,39.86,28.2,766.57,19.14,4.82,181.8162896,0.063819908,0.191459724,0.005129754,11.69277362,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
157,Chotila,Surendranagar,Gujarat,1059.11,212007,278.41,317.73,39.32,26.61,780.83,18.67,17.36,200.174675,0.037125511,0.111376533,0.005647716,6.908500646,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
158,Ibrahimpatan,Ranga Reddy,Telangana,1432.21,359572,390.57,429.66,39.09,25.82,763.07,19.8,19.06,251.0609478,0.027293483,0.08188045,0.007083419,5.19616378,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
159,Chittaurgarh,Chittaurgarh,Rajasthan,1590.21,155146,437.97,477.06,39.09,24.85,881.03,18.54,219.34,97.56321492,0.024581659,0.073744977,0.002752643,4.534804336,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
160,Bhavnagar,Bhavnagar,Gujarat,231.32,7976,30.52,69.4,38.88,27.67,892.2,18.1,124.77,34.48037351,0.168078852,0.504236555,0.000972827,30.29310641,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
161,Banera,Bhilwara,Rajasthan,718.9,155123,176.82,215.67,38.85,24.76,756.05,17.81,21.25,215.7782724,0.054040896,0.162122687,0.006087955,9.970879464,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
162,Sojat,Pali,Rajasthan,1965.15,204940,552.44,589.54,37.1,25.36,659.84,16.23,14.53,104.2872045,0.018878966,0.056636898,0.002942353,3.515907998,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
163,Ramdurg,Belgaum,Karnataka,1218.75,237472,330.48,365.62,35.14,25.91,390.66,20.27,4.68,194.8488205,0.028832821,0.086498462,0.005497453,5.409805817,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
164,Ahmadabad,Ahmadabad,Gujarat,238,5408958,36.47,71.4,34.93,26.9,812.91,19.66,5.71,22726.71429,0.146764706,0.440294118,0.641210176,52.06605409,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
165,Kinnaur,Kinnaur,Himachal Pradesh,114.45,184,0,34.33,34.33,-8.76,522.01,35.63,1.02,1.607688947,0.299956313,0.899868938,4.54E-05,53.99395067,Unclassified,N/A,N/A,General local species
166,Junagadh,Junagadh,Gujarat,1233.63,76679,335.99,370.09,34.1,26.16,939.41,19.46,14.04,62.15721083,0.027642,0.082925999,0.0017537,5.045707928,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
167,Hagaribommanahalli,Bellary,Karnataka,1014.85,174608,271.58,304.46,32.88,26.26,331.47,20.55,165.43,172.0530128,0.032398877,0.09719663,0.004854294,6.025969545,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
168,Indi,Bijapur,Karnataka,2234.62,428581,638.36,670.39,32.03,27.55,617.49,17.92,22.42,191.7914455,0.014333533,0.0430006,0.005411193,2.79648368,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
169,Dhule,Dhule,Maharashtra,1971.17,851568,559.36,591.35,31.99,26.43,731.91,18.19,36.16,432.011445,0.01622894,0.048686821,0.012188745,3.408759048,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
170,Ajmer,Ajmer,Rajasthan,808.8,105726,210.89,242.64,31.75,24.86,671.48,18.71,18.05,130.7195846,0.039255687,0.117767062,0.003688115,7.213548325,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
171,Umarga,Osmanabad,Maharashtra,1486.57,390030,414.9,445.97,31.07,25.8,803.75,18.89,50.38,262.3690778,0.020900462,0.062701386,0.007402466,4.058181812,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
172,Jamnagar,Jamnagar,Gujarat,178.8,9518,23.99,53.64,29.65,27.16,617.22,19.06,60.68,53.23266219,0.16582774,0.497483221,0.001501903,29.90906942,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
173,Hanumangarh,Hanumangarh,Rajasthan,1074,81248,292.67,322.2,29.53,25.53,460.69,12.8,0.62,75.64990689,0.027495345,0.082486034,0.002134382,5.034537292,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
174,Sangla,Kinnaur,Himachal Pradesh,86.69,123,0,26.01,26.01,-9.18,841.9,44.51,0.13,1.418848771,0.300034606,0.900103818,4.00E-05,54.00783034,Unclassified,N/A,N/A,General local species
175,Basavakalyan,Bidar,Karnataka,1206.97,337265,336.7,362.09,25.39,25.65,810.61,19.16,16.02,279.4311375,0.021036148,0.063108445,0.007883854,4.101860852,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
176,Rajkot,Rajkot,Gujarat,1062.15,1386730,295.17,318.65,23.48,26.35,835.7,18.16,31.47,1305.587723,0.022106106,0.066318317,0.036835775,5.452529996,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
177,Hosdurga,Chitradurga,Karnataka,1441.24,204890,409.29,432.37,23.08,24.79,427.55,23.02,86.11,142.1623047,0.016013988,0.048041964,0.004010959,3.042956187,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
178,Nellore,Nellore,Andhra Pradesh,305.09,40236,68.46,91.53,23.07,28.46,957.39,31.86,167.4,131.8823954,0.075617031,0.226851093,0.003720922,13.75990247,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
179,Hyderabad,Hyderabad,Telangana,178.6,2608528,32.57,53.58,21.01,25.74,753.31,21.61,6.62,14605.41993,0.117637178,0.352911534,0.412076456,37.65775029,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
180,Dharmapuri,Dharmapuri,Tamil Nadu,814.74,434577,224.38,244.42,20.04,25.94,1207.33,27.8,3.48,533.3934752,0.024596804,0.073790412,0.015049132,5.029389981,"Hot, sub-humid to humid, alluvial plains. (AEZ 7, 8, 9, 11)","Tectona grandis (Teak), Shorea robusta (Sal), Gmelina arborea (Gamhar)","Musa (Banana), Cocos nucifera (Coconut), Artocarpus heterophyllus (Jackfruit)","Bamboo (dense varieties), Agro-forestry systems (intercropping with trees)"
181,Joshimath,Chamoli,Uttarakhand,54.48,284,0,16.34,16.34,-7.7,532.7,45.37,0.1,5.212922173,0.299926579,0.899779736,0.000147077,53.99266722,Unclassified,N/A,N/A,General local species
182,Gudibanda,Chikballapura,Karnataka,225.71,56272,51.8,67.71,15.91,24.59,496.49,26.33,7.36,249.3110629,0.07048868,0.21146604,0.007034048,12.96932433,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
183,Bhim,Rajsamand,Rajasthan,365.55,102162,94.85,109.66,14.81,24.04,719.55,18.89,3.13,279.4747641,0.040514294,0.121542881,0.007885085,7.607976216,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
184,Harpanahalli,Davanagere,Karnataka,1439.09,292853,417.9,431.73,13.83,25.64,319.35,22.64,19.45,203.4987388,0.00961024,0.028830719,0.005741501,1.959503221,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
185,Dharwad,Dharwad,Karnataka,62.71,4464,5.73,18.81,13.08,25.43,430.51,20.65,0.07,71.18481901,0.208579174,0.625737522,0.002008404,37.62458749,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
186,Baijnath,Kangra,Himachal Pradesh,1213.94,77540,352.04,364.18,12.14,-2.39,1513.13,49.81,4.27,63.87465608,0.010000494,0.030001483,0.001802156,1.872175198,Unclassified,N/A,N/A,General local species
187,Rajkot,Rajkot,Gujarat,89.5,7980,15.11,26.85,11.74,26.23,711.93,17.24,1.06,89.16201117,0.131173184,0.393519553,0.002515612,23.71179765,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
188,Maliya Miyana,Morbi,Gujarat,751.4,63541,213.87,225.42,11.55,27.28,548.26,18.66,39.43,84.5634815,0.015371307,0.046113921,0.002385869,2.862270004,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
189,Yeola,Nashik,Maharashtra,1053.73,292102,304.77,316.12,11.35,25.02,605.86,18.44,8.06,277.2076338,0.01077126,0.032313781,0.00782112,2.251671627,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
190,Sambhar,Jaipur,Rajasthan,1534.95,501825,449.18,460.48,11.3,24.34,632.49,16.06,70.83,326.9324734,0.007361803,0.02208541,0.009224054,1.694086737,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
191,Badami,Bagalkot,Karnataka,1384.51,303085,404.21,415.35,11.14,26.2,405.66,20.09,9.76,218.9113838,0.008046168,0.024138504,0.006176353,1.695364347,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
192,Anekal,Bangalore,Karnataka,527.32,564350,147.79,158.19,10.4,23.27,979.15,26.18,6.5,1070.223014,0.01972237,0.059167109,0.030195209,4.757834908,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
193,Amreli,Amreli,Gujarat,66.25,9909,9.86,19.87,10.01,27.09,743.34,22.85,43.3,149.5698113,0.15109434,0.453283019,0.004219954,27.36577929,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
